type,sku,name,regular_price,categories,images,description,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,status,parent,length,width,height,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global
variable,PARENT_21,Softball Tri Star Resin,,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/TS807--5146bf72.png,,Size,Medium,1,1,Sport,Baseball/Softball,1,1,1,,,,,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variation,TS807,Softball Tri Star Resin,15.0,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/TS807--5146bf72.png,"Original dimensions (in): 5 1/2""",Size,Medium,1,1,Sport,Baseball/Softball,1,1,1,PARENT_21,13.97,13.97,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variable,PARENT_22,Softball Varsity Sport Resin,,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/VSR107--84a73fe1.png,,Size,"Medium,Large",1,1,Sport,Baseball/Softball,1,1,1,,,,,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variation,VSR107,Softball Varsity Sport Resin,14.75,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/VSR107--84a73fe1.png,"Original dimensions (in): 5 1/2""",Size,Medium,1,1,Sport,Baseball/Softball,1,1,1,PARENT_22,13.97,13.97,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variation,VSR207,Softball Varsity Sport Resin,20.0,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/VSR207--38324335.png,"Original dimensions (in): 7""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_22,17.78,17.78,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variable,PARENT_23,Basketball Astro Award,,RESINS > Basketball,https://res.cloudinary.com/business-products/image/upload/products/images/large/AA203--a5401ab2.png,,Size,Large,1,1,Sport,Basketball,1,1,1,,,,,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variation,AA203,Basketball Astro Award,15.0,RESINS > Basketball,https://res.cloudinary.com/business-products/image/upload/products/images/large/AA203--a5401ab2.png,"Original dimensions (in): 7""",Size,Large,1,1,Sport,Basketball,1,1,1,PARENT_23,17.78,17.78,0,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variation,AA213,Basketball Astro Award,20.5,RESINS > Basketball,https://res.cloudinary.com/business-products/image/upload/products/images/large/AA213--9a1dac61.png,"Original dimensions (in): 8 3/4""",Size,Large,1,1,Sport,Basketball,1,1,1,PARENT_23,22.23,22.23,0,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variation,AA223,Basketball Astro Award,23.75,RESINS > Basketball,https://res.cloudinary.com/business-products/image/upload/products/images/large/AA223--ed35b34f.png,"Original dimensions (in): 10 3/4""",Size,Large,1,1,Sport,Basketball,1,1,1,PARENT_23,27.3,27.3,0,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variable,PARENT_24,Basketball Aspire Resin,,RESINS > Basketball,https://res.cloudinary.com/business-products/image/upload/products/images/large/ASP102--b4261137.png,,Size,"Medium,Large",1,1,Sport,Basketball,1,1,1,,,,,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variation,ASP102,Basketball Aspire Resin,16.5,RESINS > Basketball,https://res.cloudinary.com/business-products/image/upload/products/images/large/ASP102--b4261137.png,"Original dimensions (in): 6""",Size,Medium,1,1,Sport,Basketball,1,1,1,PARENT_24,15.24,15.24,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variation,ASP202,Basketball Aspire Resin,23.25,RESINS > Basketball,https://res.cloudinary.com/business-products/image/upload/products/images/large/ASP202--6ecd87d2.png,"Original dimensions (in): 8""",Size,Large,1,1,Sport,Basketball,1,1,1,PARENT_24,20.32,20.32,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variable,PARENT_25,Basketball Broadcast Resin,,RESINS > Basketball,https://res.cloudinary.com/business-products/image/upload/products/images/large/BCR102--ef687f38.png,,Size,"Medium,Large",1,1,Sport,Basketball,1,1,1,,,,,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variation,BCR102,Basketball Broadcast Resin,16.0,RESINS > Basketball,https://res.cloudinary.com/business-products/image/upload/products/images/large/BCR102--ef687f38.png,"Original dimensions (in): 6""",Size,Medium,1,1,Sport,Basketball,1,1,1,PARENT_25,15.24,15.24,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variation,BCR202,Basketball Broadcast Resin,18.5,RESINS > Basketball,https://res.cloudinary.com/business-products/image/upload/products/images/large/BCR202--c0571cc5.png,"Original dimensions (in): 7""",Size,Large,1,1,Sport,Basketball,1,1,1,PARENT_25,17.78,17.78,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variable,PARENT_26,Basketball Banner Resin,,RESINS > Basketball,https://res.cloudinary.com/business-products/image/upload/products/images/large/BNN12--c9fa3975.png,,Size,Large,1,1,Sport,Basketball,1,1,1,,,,,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variation,BNN12,Basketball Banner Resin,19.5,RESINS > Basketball,https://res.cloudinary.com/business-products/image/upload/products/images/large/BNN12--c9fa3975.png,"Original dimensions (in): 7""",Size,Large,1,1,Sport,Basketball,1,1,1,PARENT_26,17.78,17.78,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
